Date,Open,High,Low,Close,Volume,stock
,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,
2016-04-04,227.88853892319,228.37061172134196,224.66742610871532,226.8038787841797,8632568,RELIANCE.NS
2016-04-05,225.99312200278408,228.41442714847713,223.98813980814438,225.0289764404297,10259495,RELIANCE.NS
2016-04-06,226.15746945215102,227.16543852512137,224.07579610066784,226.51902770996094,6990781,RELIANCE.NS
2016-04-07,226.77100931057169,229.64153434076175,223.96623411227816,227.28594970703125,8789163,RELIANCE.NS
2016-04-08,226.99011243039857,231.05485601013723,225.96024632936232,227.08872985839844,13411752,RELIANCE.NS
2016-04-11,227.23115233019854,229.09370815445948,226.35465375086105,227.95425415039062,10308361,RELIANCE.NS
2016-04-12,227.95426328754723,231.712242686377,227.46123464532332,229.51004028320312,11164859,RELIANCE.NS
2016-04-13,230.63853772971424,234.4403259570733,230.63853772971424,233.59669494628906,16038542,RELIANCE.NS
2016-04-18,233.54191707973482,233.76104904769346,231.26303822784993,233.3118438720703,19065716,RELIANCE.NS
2016-04-20,234.2869537176954,234.2869537176954,226.96821486748303,227.29690551757812,21687934,RELIANCE.NS
2016-04-21,228.1953127836454,230.51801515545162,226.7929178903452,228.14053344726562,11380697,RELIANCE.NS
2016-04-22,227.66941839177974,229.53195972592485,225.54392161353195,227.65846252441406,11705087,RELIANCE.NS
2016-04-25,228.86362509516744,228.86362509516744,221.8187979687433,222.82676696777344,61157544,RELIANCE.NS
2016-04-26,222.49812137908302,224.36066286940812,220.76703568084287,222.83775329589844,26429236,RELIANCE.NS
2016-04-27,223.0459119898499,224.80985052776592,222.62957440025272,223.3745880126953,14502641,RELIANCE.NS
2016-04-28,222.191330042699,223.33076953535365,217.14052877213814,218.40049743652344,61949033,RELIANCE.NS
2016-04-29,217.68831827179883,218.80586056140274,214.48911741934361,215.33274841308594,23479680,RELIANCE.NS
2016-05-02,214.52199667013636,217.45825688026346,214.30287932340727,216.2640380859375,10620873,RELIANCE.NS
2016-05-03,216.49412092562375,218.0170304350802,213.15249347547459,213.82081604003906,17571826,RELIANCE.NS
2016-05-04,213.43732884830962,215.5518696772571,213.20725564254516,214.3247833251953,13546285,RELIANCE.NS
2016-05-05,214.74112349187703,215.49709294728052,212.74709717518041,213.70028686523438,21665684,RELIANCE.NS
2016-05-06,213.20726346942527,214.03992401484658,211.89251550624383,212.31980895996094,14748329,RELIANCE.NS
2016-05-09,213.64550060707418,216.0558497944642,213.1634278441311,215.42039489746094,15347096,RELIANCE.NS
2016-05-10,215.4204107830258,215.77101317120005,214.30288304067054,215.29989624023438,7248302,RELIANCE.NS
2016-05-11,212.94430261355078,214.9054613274706,212.54987677188865,213.733154296875,12339923,RELIANCE.NS
2016-05-12,213.86462471223183,217.85267734265813,213.65646323798853,217.5458984375,12786216,RELIANCE.NS
2016-05-13,216.7022649037138,217.0528672730645,213.64550489130477,214.3357391357422,14648291,RELIANCE.NS
2016-05-16,214.0837414205846,215.2889306761971,212.79091985603353,213.85366821289062,9327335,RELIANCE.NS
2016-05-17,214.79590788640263,215.4204069516321,211.7500890042506,212.36363220214844,12157600,RELIANCE.NS
2016-05-18,211.65150043003047,213.09770426970374,211.25707455224358,212.67042541503906,8228838,RELIANCE.NS
2016-05-19,212.92241172788937,212.96623520043997,207.20328765943657,208.4303741455078,9134784,RELIANCE.NS
2016-05-20,208.60568256300877,209.1534905969558,204.080777378384,204.7052764892578,18544619,RELIANCE.NS
2016-05-23,205.39549903205173,206.12957140948686,202.83175289943375,203.78494262695312,18365734,RELIANCE.NS
2016-05-24,203.3576254779216,206.85264919591677,203.3576254779216,206.07476806640625,12283217,RELIANCE.NS
2016-05-25,208.1345657057913,208.78097655323984,206.22818614053125,208.4303741455078,9240115,RELIANCE.NS
2016-05-26,208.1674064510393,208.69330268111904,206.87457029562535,207.47715759277344,14190024,RELIANCE.NS
2016-05-27,207.95925183859052,214.06184576220144,207.89351663145564,213.57977294921875,13401594,RELIANCE.NS
2016-05-30,213.95227736233943,215.06980508750934,211.45426646808104,212.26502990722656,9633652,RELIANCE.NS
2016-05-31,212.33075895241925,213.20725757028876,209.59171905573427,209.8875274658203,23332727,RELIANCE.NS
2016-06-01,209.90947341184196,211.69533853976958,208.56187229160506,208.95628356933594,9042808,RELIANCE.NS
2016-06-02,209.1535013827013,209.73417705099013,207.09373955828292,209.53695678710938,10253825,RELIANCE.NS
2016-06-03,210.35865823742105,210.99411319495303,209.44929195850835,210.28196716308594,8643295,RELIANCE.NS
2016-06-06,210.57777990745933,211.0160292542523,208.72619433573473,209.21922302246094,8672842,RELIANCE.NS
2016-06-07,209.75609018721173,210.56683910355216,208.518033134168,209.27401733398438,18954268,RELIANCE.NS
2016-06-08,209.92039868721676,209.92039868721676,207.9811516783498,209.06582641601562,12135516,RELIANCE.NS
2016-06-09,210.3586483500551,213.96323106566854,209.52597318461522,212.8018798828125,15643495,RELIANCE.NS
2016-06-10,213.42637392632568,215.70526739680625,212.17737583485157,214.01800537109375,16316760,RELIANCE.NS
2016-06-13,212.52797500136424,215.49710287910304,211.02697726112706,214.98216247558594,10214469,RELIANCE.NS
2016-06-14,214.9493144947983,215.92441605295338,212.39652397933486,213.91943359375,10923848,RELIANCE.NS
2016-06-15,214.7411306723193,216.16542269416254,213.3716033603493,215.7490997314453,11129082,RELIANCE.NS
2016-06-16,214.9602549728195,215.54093059324074,211.90348009426714,213.9303741455078,9372207,RELIANCE.NS
2016-06-17,214.08372668486825,214.445284899398,212.57177325640058,213.62356567382812,10534878,RELIANCE.NS
2016-06-20,213.02098097833903,217.50206198656056,212.11162943886092,216.97616577148438,10758608,RELIANCE.NS
2016-06-21,217.8307861924487,217.84174206054942,214.67540841547998,216.2969207763672,13933068,RELIANCE.NS
2016-06-22,215.8367500888845,216.03395570592608,214.10566449665765,214.85069274902344,12788710,RELIANCE.NS
2016-06-23,214.73017826231325,215.17936883458282,212.54988747003043,214.83973693847656,9837526,RELIANCE.NS
2016-06-24,211.4323694871628,211.4323694871628,204.52998241472275,208.4851531982422,24985097,RELIANCE.NS
2016-06-27,206.0857410364307,210.00804386284267,206.0857410364307,209.40545654296875,9163399,RELIANCE.NS
2016-06-28,209.5698226145508,210.69830625669405,209.26304368771218,209.8765869140625,7604977,RELIANCE.NS
2016-06-29,210.79691638730924,212.31982595189274,210.3586670311757,211.87062072753906,7523987,RELIANCE.NS
