Date,Close,High,Low,Open,Volume
2019-01-01,553.448486328125,554.4887248374226,544.3776370027874,550.0365243347873,2943390
2019-01-02,556.7771606445312,560.8965146420975,550.9518259227291,554.2389892457521,7416655
2019-01-03,556.8604125976562,563.3930891039366,551.8256183605706,559.2321357132133,6827249
2019-01-04,550.1196899414062,560.8133716481908,541.7561829893202,559.0241412028815,7889310
2019-01-07,558.9824829101562,560.5636147066107,550.4941279219433,553.4067952654457,8046340
2019-01-08,557.609375,563.7676065703065,556.3610889351722,561.6871297955935,8621545
2019-01-09,562.6441650390625,574.045188863342,552.5746769361488,571.0493223778338,18130292
2019-01-10,565.6399536132812,567.5539818097817,559.6897705836062,567.2210852569631,9572493
2019-01-11,568.8024291992188,570.4668108501309,559.6483301192021,566.0562096337932,12281903
2019-01-14,584.11474609375,591.0219196136802,579.1632006475647,588.3588988802541,19312937
2019-01-15,604.669921875,607.4993914124389,588.5254479762203,588.5254479762203,19671304
2019-01-16,613.157958984375,613.9901494962411,606.2507878944618,607.4158749282257,9658944
2019-01-17,610.2870483398438,614.9889462569348,606.7502377558221,612.3259257762697,6903771
2019-01-18,608.2898559570312,612.65885751725,604.4201485436799,607.4992645637462,5902151
2019-01-21,619.9820556640625,624.9751997365247,610.8279581978817,614.3231692071829,8129422
2019-01-22,620.2733764648438,623.3108931236587,610.8280314456149,616.8614145900027,6723375
2019-01-23,608.8723754882812,617.9848234607111,606.8334980158653,617.7767757756257,7212099
2019-01-24,612.5123291015625,615.9430471280681,603.3079088555007,609.2489233127504,7429783
2019-01-25,611.131591796875,617.4492114487061,606.0273432662095,609.1652135282023,5543112
2019-01-28,609.1234130859375,613.0143417439323,601.6343521733907,611.675537466966,7944693
2019-01-29,609.08154296875,613.223490758644,599.5423971697263,607.0732856198695,6760819
2019-01-30,607.4080810546875,614.8552631674062,603.3915659016351,609.0816120110889,5763026
2019-01-31,627.197509765625,628.6618492492686,607.4916943572995,607.4916943572995,13825233
2019-02-01,633.4732666015625,638.0336484673246,622.9718705362927,628.7036933756472,6276585
2019-02-04,632.510986328125,638.0336175396252,626.9046479333555,633.4314078393394,3945391
2019-02-05,631.6323852539062,635.899919731023,625.0637968404512,625.0637968404512,4694366
