Date,Close,High,Low,Open,Volume
2019-01-01,7004.4609375,7020.5745287865075,6927.828748382202,6979.119975423977,625360
2019-01-02,6808.71240234375,6988.723465535454,6786.369005943543,6974.671072508238,891844
2019-01-03,6748.84912109375,6885.67240127724,6731.658269258051,6820.094568884123,715168
2019-01-04,6777.46923828125,6847.262791153176,6708.800059838848,6781.684956239957,774445
2019-01-07,6896.96044921875,6939.070965648234,6838.830572327813,6848.198833385796,687845
2019-01-08,6969.51806640625,6983.851323370027,6859.534769090692,6913.776911093236,516841
2019-01-09,7019.54443359375,7053.363948448854,6945.628943259371,6989.191358401205,740580
2019-01-10,6924.64404296875,7036.500990256505,6895.180678508603,7026.195902932204,452699
2019-01-11,6858.0361328125,6932.513815014343,6821.9683244506,6916.306904880134,488399
2019-01-14,6940.6640625,6963.756735550753,6798.547352939277,6866.935661712126,424152
2019-01-15,6890.4970703125,6998.091649883654,6854.757242596881,6960.618602226981,491196
2019-01-16,6848.43310546875,6917.524031432748,6830.492976857905,6885.203530473319,424769
2019-01-17,6872.79150390625,6931.530692134162,6845.857749503482,6875.367776066515,462725
2019-01-18,6893.12060546875,6913.7307821205195,6855.69421534769,6880.98852305668,334555
2019-01-21,6753.017578125,6913.777038141063,6708.612109773462,6893.166862688609,654537
2019-01-22,6622.28369140625,6726.411827584504,6608.84014452575,6726.411827584504,896521
2019-01-23,6600.31494140625,6681.678384953641,6581.203779214039,6604.624433232594,702474
2019-01-24,6595.81884765625,6649.592581781351,6571.2738174517945,6613.899410924752,520703
2019-01-25,6101.92333984375,6682.3809125313555,6005.055607644187,6608.371646852122,3062762
2019-01-28,6099.72216796875,6192.4213052780615,5918.587184540469,6101.080748959664,2398091
2019-01-29,6114.6181640625,6200.99326827877,6040.093362771302,6070.633989452087,1101399
2019-01-30,6134.572265625,6171.811107690986,6096.865010451265,6144.643147441588,583773
2019-01-31,6221.6025390625,6239.308460798796,6051.943241505468,6159.631584268155,926270
2019-02-01,6522.46484375,6748.895918377366,6232.282929436093,6257.062165302947,2545419
2019-02-04,6546.728515625,6594.319099844226,6418.804633679673,6534.362227789953,658776
2019-02-05,6645.47021484375,6674.886465111838,6544.105440217243,6553.099062941377,681498
2019-02-06,6729.5966796875,6763.884607272233,6620.550210469926,6670.201994983144,567827
2019-02-07,6841.21923828125,6857.567036663538,6731.189287543096,6746.084731012859,690174
2019-02-08,6683.5517578125,6838.830687462768,6651.465463148719,6810.725903815661,576159
2019-02-11,6724.4443359375,6754.4698885296275,6605.654962997035,6698.3069778186755,502244
2019-02-12,6710.01708984375,6773.25285299411,6677.649930345825,6738.590286526505,494592
2019-02-14,6574.177734375,6661.958530631505,6548.415014361418,6592.164980049255,622311
2019-02-15,6492.25146484375,6612.774507322164,6464.100023800898,6583.4515762316905,768798
2019-02-18,6410.4208984375,6555.722277848817,6386.34428183547,6524.713696205423,509963
2019-02-19,6374.6806640625,6478.9963550111925,6343.25032739612,6421.943729774095,493861
2019-02-20,6417.1650390625,6452.85820511605,6374.539451325452,6409.764204326948,534284
2019-02-21,6371.86962890625,6445.03584169021,6290.78750972571,6435.012076485458,722938
2019-02-22,6475.716796875,6500.63646321732,6388.263986863598,6395.711937510398,764535
2019-02-25,6487.427734375,6543.637307011676,6436.042725236038,6509.068511327055,495728
2019-02-26,6468.12841796875,6534.3622078378185,6382.221736951575,6450.047856768943,673415
2019-02-27,6528.27294921875,6602.750627264655,6420.25707837257,6504.383882675724,961829
2019-02-28,6398.2412109375,6595.255551029203,6371.354119680343,6567.150768851522,1031563
2019-03-01,6497.02978515625,6510.941744975969,6395.946335019739,6442.365887796034,768822
2019-03-05,6668.09423828125,6705.941922738485,6458.901144811256,6510.941653760625,838538
2019-03-06,6611.0888671875,6693.529574631753,6567.1518089115325,6686.925132747875,557197
2019-03-07,6584.998046875,6644.439852498289,6559.657081028272,6630.855872539005,396771
2019-03-08,6527.5244140625,6581.204374958392,6511.879232788011,6534.363062681107,486432
2019-03-11,6634.5087890625,6671.700968895642,6534.362168603376,6539.046299190188,720905
2019-03-12,6705.0517578125,6775.126165153017,6647.717819126909,6648.6546452006305,828847
2019-03-13,6643.0810546875,6747.912269450887,6604.6245232388155,6723.6014472744655,534982
2019-03-14,6638.63134765625,6696.433707427584,6602.048467357168,6654.276528239805,584482
2019-03-15,6636.47607421875,6704.864379331394,6613.992247880346,6659.896726654587,861945
2019-03-18,6458.4794921875,6630.340432753727,6348.496193424528,6630.340432753727,1336134
2019-03-19,6394.02587890625,6465.927284310167,6379.083319174189,6464.100290384683,816763
2019-03-20,6251.95556640625,6426.626973761709,6229.893494973086,6426.626973761709,1017560
2019-03-22,6138.74169921875,6292.006111462826,6119.677193085086,6152.138131942566,1715983
2019-03-25,6110.54248046875,6202.726084298995,6081.126230157313,6103.422510075208,1093184
2019-03-26,6169.6552734375,6183.051702485722,6070.632580622345,6143.705009833539,909087
2019-03-27,6106.23291015625,6220.525701662703,6089.370039278248,6209.283787744036,887601
2019-03-28,6179.5400390625,6206.4737932596645,6090.494888594965,6122.159432294628,949713
2019-04-01,6408.546875,6435.99569842554,6276.735251739609,6305.589314400613,1142386
2019-04-02,6454.45166015625,6464.756748367494,6356.834187035874,6426.112667575329,866805
2019-04-03,6626.078125,6649.592554768804,6460.353657042219,6460.353657042219,1491021
2019-04-04,6663.7373046875,6717.042614141258,6615.537422620561,6670.201312787414,1388375
2019-04-05,6658.6796875,6692.639636856202,6604.624633412954,6646.7818119241,729603
2019-04-08,6679.05517578125,6698.306769606757,6599.659161973673,6658.023246376954,498374
2019-04-09,6760.65234375,6777.936968613405,6632.728920218785,6683.317530627233,741669
2019-04-10,6732.361328125,6762.901954976121,6693.248832681606,6762.901954976121,590107
